date,county,cases,deaths
2020-02-01,Suffolk,1,0
2020-02-02,Suffolk,1,0
2020-02-03,Suffolk,1,0
2020-02-04,Suffolk,1,0
2020-02-05,Suffolk,1,0
2020-02-06,Suffolk,1,0
2020-02-07,Suffolk,1,0
2020-02-08,Suffolk,1,0
2020-02-09,Suffolk,1,0
2020-02-10,Suffolk,1,0
2020-02-11,Suffolk,1,0
2020-02-12,Suffolk,1,0
2020-02-13,Suffolk,1,0
2020-02-14,Suffolk,1,0
2020-02-15,Suffolk,1,0
2020-02-16,Suffolk,1,0
2020-02-17,Suffolk,1,0
2020-02-18,Suffolk,1,0
2020-02-19,Suffolk,1,0
2020-02-20,Suffolk,1,0
2020-02-21,Suffolk,1,0
2020-02-22,Suffolk,1,0
2020-02-23,Suffolk,1,0
2020-02-24,Suffolk,1,0
2020-02-25,Suffolk,1,0
2020-02-26,Suffolk,1,0
2020-02-27,Suffolk,1,0
2020-02-28,Suffolk,1,0
2020-02-29,Suffolk,1,0
2020-03-01,Suffolk,1,0
2020-03-02,Norfolk,1,0
2020-03-02,Suffolk,1,0
2020-03-03,Norfolk,1,0
2020-03-03,Suffolk,1,0
2020-03-04,Norfolk,1,0
2020-03-04,Suffolk,1,0
2020-03-05,Middlesex,1,0
2020-03-05,Norfolk,1,0
2020-03-05,Suffolk,1,0
2020-03-06,Middlesex,1,0
2020-03-06,Norfolk,3,0
2020-03-06,Suffolk,4,0
2020-03-07,Berkshire,1,0
2020-03-07,Middlesex,5,0
2020-03-07,Norfolk,3,0
2020-03-07,Suffolk,4,0
2020-03-08,Berkshire,1,0
2020-03-08,Middlesex,10,0
2020-03-08,Norfolk,7,0
2020-03-08,Suffolk,9,0
2020-03-08,Worcester,1,0
2020-03-09,Berkshire,5,0
2020-03-09,Middlesex,15,0
2020-03-09,Norfolk,10,0
2020-03-09,Suffolk,10,0
2020-03-09,Worcester,1,0
2020-03-10,Berkshire,7,0
2020-03-10,Essex,1,0
2020-03-10,Middlesex,41,0
2020-03-10,Norfolk,22,0
2020-03-10,Suffolk,20,0
